province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Pulau Pinang,Malaysia,2021-09-28,5.4141,100.3288,POINT(100.3288 5.4141),128581,1315,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-12,5.4141,100.3288,POINT(100.3288 5.4141),295861,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-05,5.4141,100.3288,POINT(100.3288 5.4141),291753,2009,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-31,5.4141,100.3288,POINT(100.3288 5.4141),167724,1769,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-13,5.4141,100.3288,POINT(100.3288 5.4141),295929,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-03,5.4141,100.3288,POINT(100.3288 5.4141),154035,1659,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-05,5.4141,100.3288,POINT(100.3288 5.4141),222825,1828,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-17,5.4141,100.3288,POINT(100.3288 5.4141),164249,1763,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-25,5.4141,100.3288,POINT(100.3288 5.4141),204614,1799,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-03,5.4141,100.3288,POINT(100.3288 5.4141),161636,1751,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-11,5.4141,100.3288,POINT(100.3288 5.4141),175877,1775,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-18,5.4141,100.3288,POINT(100.3288 5.4141),158313,1703,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-13,5.4141,100.3288,POINT(100.3288 5.4141),273726,1964,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-12,5.4141,100.3288,POINT(100.3288 5.4141),163425,1756,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-24,5.4141,100.3288,POINT(100.3288 5.4141),261519,1922,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-17,5.4141,100.3288,POINT(100.3288 5.4141),293468,2015,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-15,5.4141,100.3288,POINT(100.3288 5.4141),157544,1694,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-13,5.4141,100.3288,POINT(100.3288 5.4141),282766,1995,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-13,5.4141,100.3288,POINT(100.3288 5.4141),156980,1686,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-15,5.4141,100.3288,POINT(100.3288 5.4141),293251,2014,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-09-25,5.4141,100.3288,POINT(100.3288 5.4141),125938,1245,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-23,5.4141,100.3288,POINT(100.3288 5.4141),259942,1920,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-21,5.4141,100.3288,POINT(100.3288 5.4141),158967,1722,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-23,5.4141,100.3288,POINT(100.3288 5.4141),294147,2017,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-28,5.4141,100.3288,POINT(100.3288 5.4141),152600,1648,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-17,5.4141,100.3288,POINT(100.3288 5.4141),250032,1896,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-03,5.4141,100.3288,POINT(100.3288 5.4141),295163,2028,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-07,5.4141,100.3288,POINT(100.3288 5.4141),282072,1992,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-28,5.4141,100.3288,POINT(100.3288 5.4141),285066,1998,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-01,5.4141,100.3288,POINT(100.3288 5.4141),290924,2009,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-18,5.4141,100.3288,POINT(100.3288 5.4141),275093,1972,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-24,5.4141,100.3288,POINT(100.3288 5.4141),296890,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-06,5.4141,100.3288,POINT(100.3288 5.4141),146479,1611,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-11,5.4141,100.3288,POINT(100.3288 5.4141),278690,1986,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-08,5.4141,100.3288,POINT(100.3288 5.4141),286280,2006,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-21,5.4141,100.3288,POINT(100.3288 5.4141),194332,1789,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-14,5.4141,100.3288,POINT(100.3288 5.4141),279300,1987,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-22,5.4141,100.3288,POINT(100.3288 5.4141),165381,1767,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-22,5.4141,100.3288,POINT(100.3288 5.4141),296684,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-06,5.4141,100.3288,POINT(100.3288 5.4141),295367,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-29,5.4141,100.3288,POINT(100.3288 5.4141),281160,1991,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-27,5.4141,100.3288,POINT(100.3288 5.4141),152338,1648,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-08,5.4141,100.3288,POINT(100.3288 5.4141),292257,2011,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-12,5.4141,100.3288,POINT(100.3288 5.4141),282661,1992,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-10,5.4141,100.3288,POINT(100.3288 5.4141),295735,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-27,5.4141,100.3288,POINT(100.3288 5.4141),208597,1804,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-10,5.4141,100.3288,POINT(100.3288 5.4141),163049,1756,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-09-30,5.4141,100.3288,POINT(100.3288 5.4141),130207,1366,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-20,5.4141,100.3288,POINT(100.3288 5.4141),283782,1996,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-25,5.4141,100.3288,POINT(100.3288 5.4141),280725,1991,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-30,5.4141,100.3288,POINT(100.3288 5.4141),266934,1941,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-31,5.4141,100.3288,POINT(100.3288 5.4141),267724,1944,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-05,5.4141,100.3288,POINT(100.3288 5.4141),281902,1991,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-31,5.4141,100.3288,POINT(100.3288 5.4141),294910,2026,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-03,5.4141,100.3288,POINT(100.3288 5.4141),132376,1404,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-15,5.4141,100.3288,POINT(100.3288 5.4141),245276,1886,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-11,5.4141,100.3288,POINT(100.3288 5.4141),282528,1992,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-16,5.4141,100.3288,POINT(100.3288 5.4141),184496,1780,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-04,5.4141,100.3288,POINT(100.3288 5.4141),269880,1953,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-21,5.4141,100.3288,POINT(100.3288 5.4141),275727,1976,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-05,5.4141,100.3288,POINT(100.3288 5.4141),295305,2028,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-13,5.4141,100.3288,POINT(100.3288 5.4141),293043,2013,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-05,5.4141,100.3288,POINT(100.3288 5.4141),270337,1954,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-31,5.4141,100.3288,POINT(100.3288 5.4141),281338,1991,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-07,5.4141,100.3288,POINT(100.3288 5.4141),171087,1773,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-23,5.4141,100.3288,POINT(100.3288 5.4141),142337,1561,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-15,5.4141,100.3288,POINT(100.3288 5.4141),148923,1629,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-07,5.4141,100.3288,POINT(100.3288 5.4141),135168,1450,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-11,5.4141,100.3288,POINT(100.3288 5.4141),156461,1683,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-17,5.4141,100.3288,POINT(100.3288 5.4141),287817,2006,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-21,5.4141,100.3288,POINT(100.3288 5.4141),165132,1767,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-25,5.4141,100.3288,POINT(100.3288 5.4141),284607,1996,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-21,5.4141,100.3288,POINT(100.3288 5.4141),296581,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-26,5.4141,100.3288,POINT(100.3288 5.4141),297023,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-26,5.4141,100.3288,POINT(100.3288 5.4141),284786,1997,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-02,5.4141,100.3288,POINT(100.3288 5.4141),277555,1982,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-19,5.4141,100.3288,POINT(100.3288 5.4141),283627,1995,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-16,5.4141,100.3288,POINT(100.3288 5.4141),274727,1967,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-26,5.4141,100.3288,POINT(100.3288 5.4141),166211,1768,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-09,5.4141,100.3288,POINT(100.3288 5.4141),162884,1756,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-14,5.4141,100.3288,POINT(100.3288 5.4141),180673,1775,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-22,5.4141,100.3288,POINT(100.3288 5.4141),196933,1792,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-07,5.4141,100.3288,POINT(100.3288 5.4141),155271,1672,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-09,5.4141,100.3288,POINT(100.3288 5.4141),173120,1774,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-11,5.4141,100.3288,POINT(100.3288 5.4141),137320,1487,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-05,5.4141,100.3288,POINT(100.3288 5.4141),133824,1410,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-08,5.4141,100.3288,POINT(100.3288 5.4141),155562,1674,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-14,5.4141,100.3288,POINT(100.3288 5.4141),157265,1694,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-03,5.4141,100.3288,POINT(100.3288 5.4141),269466,1948,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-16,5.4141,100.3288,POINT(100.3288 5.4141),293345,2015,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-26,5.4141,100.3288,POINT(100.3288 5.4141),280842,1991,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-13,5.4141,100.3288,POINT(100.3288 5.4141),163589,1757,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-06,5.4141,100.3288,POINT(100.3288 5.4141),162310,1754,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-30,5.4141,100.3288,POINT(100.3288 5.4141),297398,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-14,5.4141,100.3288,POINT(100.3288 5.4141),163787,1759,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-10-02,5.4141,100.3288,POINT(100.3288 5.4141),297728,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-22,5.4141,100.3288,POINT(100.3288 5.4141),280389,1991,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-24,5.4141,100.3288,POINT(100.3288 5.4141),202083,1798,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-30,5.4141,100.3288,POINT(100.3288 5.4141),144592,1590,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-14,5.4141,100.3288,POINT(100.3288 5.4141),296037,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-29,5.4141,100.3288,POINT(100.3288 5.4141),144322,1589,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-11,5.4141,100.3288,POINT(100.3288 5.4141),147819,1617,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-05,5.4141,100.3288,POINT(100.3288 5.4141),146254,1611,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-27,5.4141,100.3288,POINT(100.3288 5.4141),143590,1582,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-12,5.4141,100.3288,POINT(100.3288 5.4141),278882,1986,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-08,5.4141,100.3288,POINT(100.3288 5.4141),162698,1755,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-17,5.4141,100.3288,POINT(100.3288 5.4141),274927,1970,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-05,5.4141,100.3288,POINT(100.3288 5.4141),277763,1983,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-07,5.4141,100.3288,POINT(100.3288 5.4141),162529,1755,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-13,5.4141,100.3288,POINT(100.3288 5.4141),148378,1622,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-15,5.4141,100.3288,POINT(100.3288 5.4141),287320,2006,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-15,5.4141,100.3288,POINT(100.3288 5.4141),182354,1780,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-23,5.4141,100.3288,POINT(100.3288 5.4141),296792,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-25,5.4141,100.3288,POINT(100.3288 5.4141),276463,1978,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-17,5.4141,100.3288,POINT(100.3288 5.4141),296326,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-10-03,5.4141,100.3288,POINT(100.3288 5.4141),297728,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-21,5.4141,100.3288,POINT(100.3288 5.4141),288606,2007,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-18,5.4141,100.3288,POINT(100.3288 5.4141),296383,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-28,5.4141,100.3288,POINT(100.3288 5.4141),166849,1768,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-01,5.4141,100.3288,POINT(100.3288 5.4141),212702,1812,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-26,5.4141,100.3288,POINT(100.3288 5.4141),143265,1579,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-09-26,5.4141,100.3288,POINT(100.3288 5.4141),126893,1276,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-06,5.4141,100.3288,POINT(100.3288 5.4141),277863,1984,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-29,5.4141,100.3288,POINT(100.3288 5.4141),297281,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-29,5.4141,100.3288,POINT(100.3288 5.4141),167094,1769,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-12,5.4141,100.3288,POINT(100.3288 5.4141),273381,1964,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-17,5.4141,100.3288,POINT(100.3288 5.4141),158065,1700,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-01,5.4141,100.3288,POINT(100.3288 5.4141),281451,1991,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-26,5.4141,100.3288,POINT(100.3288 5.4141),289612,2007,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-09,5.4141,100.3288,POINT(100.3288 5.4141),286427,2006,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-18,5.4141,100.3288,POINT(100.3288 5.4141),252338,1898,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-28,5.4141,100.3288,POINT(100.3288 5.4141),277000,1982,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-02,5.4141,100.3288,POINT(100.3288 5.4141),215124,1815,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-19,5.4141,100.3288,POINT(100.3288 5.4141),293753,2016,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-11,5.4141,100.3288,POINT(100.3288 5.4141),286683,2005,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-24,5.4141,100.3288,POINT(100.3288 5.4141),165809,1767,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-30,5.4141,100.3288,POINT(100.3288 5.4141),153190,1653,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-06,5.4141,100.3288,POINT(100.3288 5.4141),270845,1954,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-16,5.4141,100.3288,POINT(100.3288 5.4141),279622,1987,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-20,5.4141,100.3288,POINT(100.3288 5.4141),296510,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-04,5.4141,100.3288,POINT(100.3288 5.4141),285805,2005,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-24,5.4141,100.3288,POINT(100.3288 5.4141),159644,1729,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-02,5.4141,100.3288,POINT(100.3288 5.4141),145441,1607,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-01,5.4141,100.3288,POINT(100.3288 5.4141),277452,1982,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-28,5.4141,100.3288,POINT(100.3288 5.4141),265571,1933,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-26,5.4141,100.3288,POINT(100.3288 5.4141),294447,2017,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-18,5.4141,100.3288,POINT(100.3288 5.4141),188583,1783,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-10,5.4141,100.3288,POINT(100.3288 5.4141),292543,2012,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-08,5.4141,100.3288,POINT(100.3288 5.4141),135800,1460,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-03,5.4141,100.3288,POINT(100.3288 5.4141),168970,1769,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-13,5.4141,100.3288,POINT(100.3288 5.4141),240815,1871,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-07,5.4141,100.3288,POINT(100.3288 5.4141),292151,2011,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-09-23,5.4141,100.3288,POINT(100.3288 5.4141),123647,1217,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-05,5.4141,100.3288,POINT(100.3288 5.4141),154640,1666,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-17,5.4141,100.3288,POINT(100.3288 5.4141),279745,1987,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-23,5.4141,100.3288,POINT(100.3288 5.4141),159381,1729,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-25,5.4141,100.3288,POINT(100.3288 5.4141),294352,2017,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-21,5.4141,100.3288,POINT(100.3288 5.4141),257348,1911,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-28,5.4141,100.3288,POINT(100.3288 5.4141),210325,1807,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-01,5.4141,100.3288,POINT(100.3288 5.4141),268454,1945,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-18,5.4141,100.3288,POINT(100.3288 5.4141),279890,1990,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-11,5.4141,100.3288,POINT(100.3288 5.4141),163246,1756,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-05-24,5.4141,100.3288,POINT(100.3288 5.4141),280606,1991,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-11,5.4141,100.3288,POINT(100.3288 5.4141),295798,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-04,5.4141,100.3288,POINT(100.3288 5.4141),281797,1991,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-02,5.4141,100.3288,POINT(100.3288 5.4141),131756,1390,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-19,5.4141,100.3288,POINT(100.3288 5.4141),150063,1638,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-21,5.4141,100.3288,POINT(100.3288 5.4141),283907,1996,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-30,5.4141,100.3288,POINT(100.3288 5.4141),294800,2024,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-12,5.4141,100.3288,POINT(100.3288 5.4141),156704,1685,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-24,5.4141,100.3288,POINT(100.3288 5.4141),284434,1996,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-22,5.4141,100.3288,POINT(100.3288 5.4141),141999,1560,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-12,5.4141,100.3288,POINT(100.3288 5.4141),292909,2012,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-10,5.4141,100.3288,POINT(100.3288 5.4141),156116,1682,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-10-06,5.4141,100.3288,POINT(100.3288 5.4141),134447,1417,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-06-08,5.4141,100.3288,POINT(100.3288 5.4141),282161,1992,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-08,5.4141,100.3288,POINT(100.3288 5.4141),172110,1774,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-04-19,5.4141,100.3288,POINT(100.3288 5.4141),275330,1972,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-18,5.4141,100.3288,POINT(100.3288 5.4141),287986,2006,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-01,5.4141,100.3288,POINT(100.3288 5.4141),168150,1769,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-09,5.4141,100.3288,POINT(100.3288 5.4141),155837,1678,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-12-26,5.4141,100.3288,POINT(100.3288 5.4141),160101,1735,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2021-11-16,5.4141,100.3288,POINT(100.3288 5.4141),149159,1634,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-08-28,5.4141,100.3288,POINT(100.3288 5.4141),294630,2017,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-02,5.4141,100.3288,POINT(100.3288 5.4141),285588,2000,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-11,5.4141,100.3288,POINT(100.3288 5.4141),236734,1853,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-03-26,5.4141,100.3288,POINT(100.3288 5.4141),263941,1929,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-01-25,5.4141,100.3288,POINT(100.3288 5.4141),166028,1767,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-02-20,5.4141,100.3288,POINT(100.3288 5.4141),192580,1787,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-09-25,5.4141,100.3288,POINT(100.3288 5.4141),296967,2029,,,,,"Pulau Pinang, Malaysia"
Pulau Pinang,Malaysia,2022-07-05,5.4141,100.3288,POINT(100.3288 5.4141),285912,2005,,,,,"Pulau Pinang, Malaysia"
